id,name,designation,greek,constellation,search,wikistatus,ra1,ra2,ra3,dec1,dec2,dec3,ra,dec,appmag_v,class,mass,radius,text,xrefs,ra_cat,dec_cat,hip,hd,bs,distance,appmag,absmag,spectrum,colourindex
14,"AL MINCHIR AL ASAD",,,Leonis,"Kappa Leonis",cache,9,24,39.2591,26,10,56.367,2.4637692476,0.4569677625,4.473,K2III,,,"K-type dwarf, companion with biosphere spectral fingerprint VBR9188EA5F (""dinosaur planet"")",,9.41091093,26.18244091,46146,81146,,65.4450261780105,4.47,0.390616771198356,K2III,1.222
15,"AL NAIR",,,Gruis,"Alpha Gruis",cache,22,8,13.98473,-46,57,39.5078,5.7955101149,-0.819623623,1.74,"B6 V",4,,"Smooth A-type star, free from superfluous prominences.",,22.13718789,-46.96061593,109268,209952,,31.0945273631841,1.73,-0.733419799617932,B7IV,-0.070
16,"AL NASL",,,Sagittarii,"Gamma Sagittarii",cache,18,5,48.4881,-30,25,26.7235,4.7377317502,-0.53100054,2.98,"K1 III",,,"K-type giant used as a staging host (""the Arrow's Tip"") by the stellar alchemists.",,18.09681239,-30.42365007,88635,165135,,29.4637595757219,2.98,0.633559189908285,K0III,0.981
17,"AL NIYAT",,,Scorpii,"Sigma Scorpii",cache,16,21,11.31571,-25,35,34.0515,4.2812428922,-0.4466784866,2.88,"B1 III","18.4 ± 5.4,",,"Triple star, companion with biosphere spectral fingerprint OOO566AA012 (""ghost planet"")",,16.35314514,-25.59275259,80112,147165,,225.225225225225,2.90,-3.8630851494269,B1III,0.299
18,"AL RISCHA",,,Piscium,"Alpha Piscium",cache,2,2,2.81972,2,45,49.541,0.5325304777,0.048236736,3.82,A,,,"Steam star, created in the twenty-first cosmic year by a now-vanished race of host plasms.",,2.03411128,02.76376048,9487,12446,,42.6439232409382,3.82,0.67071423525551,A2,0.024
19,"AL SHARAS",,,Crateris,"Beta Crateris",cache,11,11,39.5,-22,49,33,2.9306623413,0.3983859462,4.48,A,,,"White giant star, home to a species of sessile, multi-eyed sentient plants, the β Crater Potaters.",,11.19430174,-22.82560642,54682,97277,,81.5660685154975,4.46,-0.0975476490880185,A1V,0.025
20,"AL SUHAIL AL MUHLIF",,,Velorum,"Lambda Velorum",cache,9,7,59.75787,-43,25,57.3273,2.391083467,-0.7580417142,2.23,"K4.5 Ib-II","8.5 ± 0.3",,"Irregular variable which has used up the hydrogen in its core, expanded, and, frankly, let itself go.",,9.13327141,-43.43262406,44816,78647,,175.746924428822,2.23,-3.99443866802464,K4Ib-II,1.665
21,"AL THALIMAIN POSTERIOR",,,Aquilae,"Iota Aquilae",cache,19,36,43.27606,-1,17,11.7611,5.1344151248,-0.0224554115,4.364,"B5 III","4.8 ± 0.3",,"Immense, fluffy star, prized for its beautiful feathery prominences, once hunted to near-extinction.",,19.61202126,-01.28655047,96468,184930,,94.2507068803016,4.36,-0.511423080493296,B5III,-0.079
22,"AL THALIMAIN PRIOR",,,Aquilae,"Lambda Aquilae",cache,19,6,14.93898,-4,52,57.2007,5.0014547002,-0.0852166737,3.43,B9Vn,3.1{{+-,,"Furiously rotating blue dwarf star, obscured by dense clouds of silicon.",,19.10415275,-04.88233456,93805,177756,,38.3877159309021,3.43,0.509038638177717,B9Vn,-0.096
23,ALAMAK,,,Andromedae,"Gamma Andromedae",cache,2,3,53.9531,42,19,47.009,0.5406123251,0.7387930679,2.15,K3IIb,,,"Quadruple system, early member of the Skein, an unpopular hard-wired galactic communications network.",,2.06497752,42.32984832,9640,12533,,108.813928182807,2.10,-3.08342244306944,B8V,1.370
24,ALATHFAR,,,Lyrae,"Mu Lyrae","No coords",18,24,13.8,39,30,26,,,5.12,A,,,"The so-called ""Siren Star"", swarms with dragons who find its hard gamma spectrum irresistible.",,18.40383382,39.50724983,90191,169702,,135.31799729364,5.11,-0.546777808025871,A3IVn,0.047
25,ALBIREO,,,Cygni,"Beta Cygni",cache,19,30,45.3954,27,57,54.995,5.1083893087,0.4880861492,5.09,B8Ve,3.3,,"It is not known whether the components of this orange-blue binary are truly orbiting or if they are just good friends.",,0.00355446,38.30408636,19,224721,,242.718446601942,6.53,-0.395513919834326,G5,0.955
26,ALCHIBA,,,Corvi,"Alpha Corvi",cache,12,8,24.8,-24,43,44,3.1783027455,-0.4316005315,4,"F2 IV",1.2,,"White, moderate star with companion bearing biosphere spectral fingerprint GBS1AAF6563 (""utopia (toga) planet"")",,12.14020907,-24.72877993,59199,105452,,14.7688672278836,4.02,3.17326406898712,F0IV/V,0.334
27,ALCOR,,,"Ursae Majoris","80 Ursae Majoris",cache,13,25,13.5,54,59,17,3.5077845473,0.9586269398,2.23,"A2 V/A2 V/A1 V ",,,"Hemispherical star, left incomplete for three cosmic years due to a zoning dispute.",,13.39872773,54.92541525,65378,116656,,23.9635753654445,2.23,0.332241923558545,A2V,0.057
28,ALCYONE,,,Tauri,"Eta Tauri",cache,3,47,29.0765,24,6,18.494,0.9925888533,0.4207140112,2.873,B7IIIe,6,,"Beautiful blue giant surrounded by a circumstellar gas disk, three dwarf companions and a herbaceous border.",,3.79140671,24.10524193,17702,23630,,112.739571589628,2.85,-2.41038190084137,B7III,-0.086
29,ALDAFAR,,,Lyrae,"Eta Lyrae","No coords",19,13,45.5,39,8,46,,,4.39,B,,,"Believed to be the image of ALATHFAR (μ Lyrae) in a reflective nebula.",,19.22930243,39.14596968,94481,180163,,319.488817891374,4.43,-3.09227831226776,B2.5IV,-0.150
30,ALDEBARAN,,,Tauri,"Alpha Tauri",cache,4,35,55.239,16,30,33.49,1.2039309542,0.2881416907,0.85,K5III,1.7,,"Benevolent orange giant, known for its relaxed and tolerant culture.",,4.59866679,16.50976164,21421,29139,,19.9640646835696,0.87,-0.631244841552428,K5III,1.538
31,ALDERAMIN,,,Cephei,"Alpha Cephei",cache,21,18,34.7715,62,35,8.061,5.578855615,1.0923243044,2.5141,A7IV-V,1.74,,"Dessert star which has left the Main Sequence, fusing glucose into long-chain carbohydrates and caramels.",,21.30960598,62.58545529,105199,203280,,14.9611011370437,2.45,1.57518220610677,A7IV-V,0.257
32,ALDHAFERA,,,Leonis,"Zeta Leonis",cache,10,16,41.41597,23,25,2.3221,2.6908189024,0.408709191,3.33,"F0 III",3,,"Dapper giant whose prominences braid themselves into elegant curlicues.",,10.27816787,23.41732840,50335,89025,,79.6178343949044,3.43,-1.07505180299411,F0III,0.307
33,ALDHANAB,,,Gruis,"Gamma Gruis",cache,21,53,55.7262,-37,21,53.479,5.7330957933,-0.6521397491,3.003,"B8 III"," ",,"Member of the class of exasperating binaries, which move behind their companion star when observed.",,21.8987928,-37.36482290,108085,207971,,62.2277535780958,3.00,-0.969920616183277,B8III,-0.084
34,ALDIBAIN,,,Draconis,"Eta Draconis",cache,16,23,59.48594,61,30,51.1699,4.2934725764,1.0736255687,2.73,"G8 III",2.55,,"One of the only stars to have been colonised, by an incredibly persistent race of renobots.",,16.39986301,61.51407536,80331,148387,,26.8961807423346,2.73,0.581546927179399,G8III,0.910
35,ALFIRK,,,Cephei,"Beta Cephei",cache,21,28,39.5971,70,33,38.578,5.6228397738,1.2315168187,3.1438,B2IIIev,12,,"Triple system with hesitant, jerky proper motion, implying a nearby unseen stellar predator.",,21.47765973,70.56069481,106032,205021,,182.481751824818,3.23,-3.07609720757815,"B2IIIv SB",-0.201
36,ALGENIB,,,Pegasi,"Gamma Pegasi",cache,0,13,14.15123,15,11,0.9368,0.0577523072,0.2650036998,2.84,"B2 IV","8.9 ± 0.1",,"Large green star which was constructed from a pea as a demonstration of the Banach-Tarski Paradox.",,0.22059721,15.18361593,1067,886,,102.145045965271,2.83,-2.21608654098431,B2IV,-0.190
37,ALGIEBA,,,Leonis,"Gamma Leonis",cache,10,19,58.35056,19,50,29.3468,2.7051403899,0.3462992456,2.01,"K0 IIIb",1.23,,"Double giant system, planetary companion with biosphere spectral fingerprint RRRAAA560AA (""pirate planet"")",,10.3328227,19.84186032,50583,89484,,38.5208012326656,2.01,-0.918476559358342,K0III,1.128
38,ALGOL,,,Persei,"Beta Persei",cache,3,8,10.1315,40,57,20.332,0.8210415319,0.714810901,2.12,"B8V (A)",3.59/0.79/1.67,,"Celestial lighthouse, its evil reputation is a galactic race memory of the brutal slavery used in its construction.",,3.13614714,40.95565120,14576,19356,,28.4575981787137,2.09,-0.180991214203619,B8V,-0.003
39,ALGORAB,,,Corvi,"Delta Corvi",cache,12,29,51.85517,-16,30,55.5525,3.2719000387,-0.2882486527,2.962,"A0 IV(n) kB9",2.74{{+-,,"Spindle-shaped star with a star-shaped profile, viewed from Earth. Believed to be a fruiting body of some kind.",,12.4977731,-16.51509397,60965,108767,,26.9469145782808,2.94,0.787454771743915,B9.5V,-0.012
40,ALHENA,,,Geminorum,"Gamma Geminorum",cache,6,37,42.7105,16,23,57.4095,1.7353452778,0.2862214382,1.9,"A1 IV",2.81,,"Pulsating star, believed to be the rejected core of a dying supergiant.",,6.62852842,16.39941482,31681,47105,,32.133676092545,1.93,-0.604802058411743,A0IV,0.001
41,ALIOTH,,,"Ursae Majoris","Epsilon Ursae Majoris",cache,12,54,1.74959,55,57,35.3627,3.3773393364,0.9766831597,1.77,A0pCr,2.91,,"Chromium-rich star, serves as the galactic magnetic pole in the metal cultures.",,12.9004536,55.95984301,62956,112185,,24.8138957816377,1.76,-0.213474769294453,A0p,-0.022
42,ALKAFZAH,,,"Ursae Majoris","Chi Ursae Majoris",cache,11,46,3,47,46,46,3.0807242959,0.8339086203,3.69,K,,,"Capital star of Ursa Major, with a long tradition of representative magnetohydrodynamics.",,11.76753725,47.77933701,57399,102224,,60.0961538461538,3.69,-0.204233390226474,K0III,1.181
43,ALKALUROPS,,,Boötis,"Mu Boötis",cache,15,24,29.4278,37,22,37.8,4.0338506221,0.6523546234,4.31,F0V,1.7,,"Dub star with an oscillating core of dark matter, used by the stellar alchemists to transmit funky frequencies.",,15.4082045,37.37696091,75411,137391,,37.0919881305638,4.31,1.46359943931641,F0V,0.309
44,ALKES,,,Crateris,"Alpha Crateris",cache,10,59,46.4647,-18,17,55.62,2.878808951,-0.3193740183,4.07,"K1 III",2.5,,"K-type giant with companion with biosphere spectral fingerprint YIY55A38642 (""cowboy planet"")",,10.9963191,-18.29909723,53740,95272,,53.4473543559594,4.08,0.44036893750005,K1III,1.079
45,ALKURAH,,,Cephei,"Xi Cephei",cache,22,3,47.4,64,37,40.71,5.7761235262,1.1279709526,4.29,A,,,"Has the appearance of a white giant; thought by Struve and others to be a white spot on a far larger object.",,22.06310052,64.62775425,108917,209790,,31.1817898347365,4.26,1.7904947996422,Am,0.379
46,ALNILAM,,,Orionis,"Epsilon Orionis",cache,5,36,12.8,-1,12,6.9,1.4670074139,0.0209774032,1.7,"B0 Ia"," ",,"Blue giant and celestial omphalos, dreaded in galactic culture as a scar on the heavens.",,5.60355904,-01.20191725,26311,37128,,411.522633744856,1.69,-6.38196863200844,B0Ia,-0.184
47,ALNITAK,,,Orionis,"Zeta Orionis",cache,5,40,45.5,-1,56,34,1.4868387176,0.0339078689,2,"O9 Iab/O9/B0 III ","28/23/20 ",,"Head office of the Orion supernova works. Approaching this star is not recommended due to high demiurgic activity.",,5.67931244,-01.94257841,26727,37742,,250.62656641604,1.74,-5.25513552156626,"O9.5Ib SB",-0.199
48,ALPHARD,,,Hydrae,"Alpha Hydrae",cache,9,27,35.2433,-8,39,30.969,2.4765671798,-0.1511211222,1.98,"K3 II-III","3.03 ± 0.36",,"Capital star of the neighbourhood known as The Star, leading to its grandiloquent nickname ""The Star of the Star"".",,9.45979217,-08.65868335,46390,81797,,54.3478260869565,1.99,-1.68591088495232,K3III,1.440
49,ALPHEKKA,,,"Coronae Borealis","Alpha Coronae Borealis",cache,15,34,41.2681,26,42,52.895,4.0783449043,0.4662593525,2.21,A0V/G5V,2.58/0.92,,"One of the second pair of line-of-sight cognates used by Yule to identify Old Earth. See also ACHERNAR.",,15.57810819,26.71491041,76267,139006,,22.9095074455899,2.22,0.419921240207943,A0V,0.032
50,"ALPHEKKA MERIDIANIA",,,"Coronae Australis","Alpha Coronae Australis",cache,19,9,28.34097,-37,54,16.1022,5.0155192899,-0.6615578522,4.102,A2Va,2.3,,"Old Earth, the moon of a gas giant orbiting a pulsar, lies midway between this star and ALPHEKKA.",,19.15785508,-37.90423953,94114,178253,,39.7614314115308,4.11,1.11268994695973,A0/A1V,0.042
51,ALSAFI,,,Draconis,"Sigma Draconis",cache,19,32,21.59026,69,39,40.2354,5.1153847964,1.2158168907,4.674,"G9 V",0.87,,"G-class swarf, a fragment left over from the machining process of a much larger star.",,19.53905179,69.66540172,96100,185144,,5.76668012225362,4.67,5.86537069117947,K0V,0.786
52,ALSCIAUKAT,,,Lyncis,"31 Lyncis",cache,8,22,50.13,43,11,18.1,2.1940337677,0.7537790999,4.25,K,,,"Rare example of a feline species developing technological civilisation, due to an absence of hominid servants.",,8.38059169,43.18837233,41075,70272,,119.189511323004,4.25,-1.1311901958565,K5III,1.550
53,ALSHAIN,,,Aquilae,"Beta Aquilae",cache,19,55,18.8,6,24,24,5.2155383149,0.1118174274,3.7,"G8 IVvar","1.26 ± 0.18",,"Sacred in the heavens of all worlds inhabited by winged creatures, home to the first swan consort.",,19.92187948,06.40793334,98036,188512,,13.7080191912269,3.71,3.02512648114735,G8IVvar,0.855
54,ALSHAT,,,Capricorni,"Nu Capricorni",cache,20,20,39.8,-12,45,33,5.3261485563,0.2226894681,4.77,B,,,"Blue dwarf star with companion bearing biosphere spectral fingerprint XXXEE98012A (""pleasure planet"")",,20.34439076,-12.75904403,100310,193432,,83.4724540901503,4.77,0.162284090266463,B9IV,-0.047
55,ALTAIR,,,Aquilae,"Alpha Aquilae",cache,19,50,46.99855,8,52,5.9563,5.1957723557,0.154781404,0.77,"A7 V",1.79,,"Celestial form of the Trickster deity in exile, the eagle consort. Known for its rapid rotation.",,19.84630057,08.86738491,97649,187642,,5.14297469656449,0.76,2.20392806201252,A7IV-V,0.221
56,ALTAIS,,,Draconis,"Delta Draconis",cache,19,12,33.30197,67,39,41.5456,5.0289700333,1.1809166577,3.07,"G9 III",2.32,,"Yellow giant, the famed Space Elephants' Graveyard. Note that space elephants are a myth, tourists may be disappointed.",,19.20920972,67.66131695,94376,180711,,30.7314074984634,3.07,0.6320877430042,G9III,0.990
57,ALTARF,,,Cancri,"Beta Cancri",cache,8,16,30.9206,9,11,7.961,2.166456882,0.160317999,3.536,"K4III ",,,"K-giant, whose inhabitants worship reason and are involved in a bitter conflict with those of λ Leonis (the ""Tarf Wars"")",,8.2752634,09.18566295,40526,69267,,89.0471950133571,3.53,-1.21810121869271,K4III,1.481
58,ALTERF,,,Leonis,"Lambda Leonis","No coords",9,31,43.24,22,58,5.036,,,4.32,K,,,"K-giant, whose inhabitants worship reason and are involved in a bitter conflict with those of β Cancri (the ""Terf Wars"")",,9.52867787,22.96806545,46750,82308,,103.199174406605,4.32,-0.748381114746174,K5IIIvar,1.541
59,ALUDRA,,,"Canis Majoris","Eta Canis Majoris",cache,7,24,5.70228,-29,18,11.1798,1.9377301512,-0.511435672,2.45,"B5 Ia","19.19 ± 1.15",,"Leader of a pack of tough blue giants whose motto is ""Live fast, die young and leave a beautiful nebula.""",,7.40158473,-29.30311979,35904,58350,,980.392156862745,2.45,-7.50699914119041,B5Ia,-0.083
60,"ALULA AUSTRALIS",,,"Ursae Majoris","Xi Ursae Majoris",cache,11,18,11,31,31,45,2.9591330247,0.5502877687,3.7,"G0 Ve/G0 Ve",1.05/0.90,,"""Herschel's Palindromic Binary,"" thought at first to move back and forth rather than round and round.",,11.3035119198113,31.5368521599899,0,98230,,10.4166666666667,4.8,4.71135616519784,"G0 Ve",
61,"ALULA BOREALIS",,,"Ursae Majoris","Nu Ursae Majoris",cache,11,18,28.73664,33,5,39.5107,2.9604228696,0.5776046475,3.49,"K3 III",,,"K-type giant whose spectrum features strong loneliness and melancholy-alpha emission lines.",,11.30798759,33.09423881,55219,98262,,129.198966408269,3.49,-2.06629519658554,"K3III SB",1.400
62,ALYA,,,Serpentis,"Theta Serpentis",cache,18,56,13.2,4,12,13,4.9576950068,0.0733668544,4.03,A,,,"Binary pair of A-type dwarf stars, one good and one evil, locked in a gravitational and moral stalemate.",,18.93698898,04.20352956,92946,175638,,40.4367165386171,4.62,1.58612058180649,A5V,0.161
63,ALZIRR,,,Geminorum,"Xi Geminorum",cache,6,45,17.36432,12,53,44.1311,1.7684086366,0.2250705389,3.35,"F5 IV","1.706 ± 0.012",,"Large F-class star which is moving off the Main Sequence, ""not before time"", according to its parent cluster.",,6.75484265,12.89605513,32362,48737,,17.5377060680463,3.35,2.13013606486721,F5IV,0.443
64,ANCHA,,,Aquarii,"Theta Aquarii",cache,22,16,50.03635,-7,46,59.848,5.8330384477,-0.1358440565,4.175,"G8 III–IV",2.39,,"G-type star whose inhabitants, a race of mystic pedants, insist that their planets are moons of a long-vanished primary.",,22.28054621,-07.78323706,110003,211391,,58.6854460093897,4.17,0.327347952153407,G8III-IV,0.979
65,ANGETENAR,,,Eridani,"Tau2 Eridani","No coords",2,51,2.3,-21,0,15,,,4.75,K,,,"Not to be confused with τ¹, τ³, τ⁴, τ⁵, τ⁶, τ⁷, τ⁸ or τ⁹ Eridani, which were cloned from it in a replicator outbreak.",,2.85065164,-21.00397890,13288,17824,,56.0224089635854,4.76,1.01819110224106,K0III,0.906
66,ANKAA,,,Phoenicis,"Alpha Phoenicis",cache,0,26,17.0514,-42,18,21.5539,0.1146864142,-0.7383787698,2.377,"K0.5 IIIb",,,"Quark star surrounded by an accretion disk of malodorous curds.",,0.43801871,-42.30512197,2081,2261,,23.7304224015187,2.40,0.523472656360407,K0III...,1.083
67,ANTARES,,,Scorpii,"Alpha Scorpii",cache,16,29,24.4597,-26,25,55.2094,4.3170719048,-0.4613244583,1.09,"M1.5Iab-b + B2.5V",12.4,,"Immense, irregular giant. Dark forms, none alike, move with ritual slowness over its vast red terraces.",,16.49012986,-26.43194608,80763,148478,,185.185185185185,1.06,-5.27803120088516,"M1Ib + B2.5V",1.865
68,APOLLYON,,,Scorpii,"Iota1 Scorpii",cache,17,47,35.08113,-40,7,37.1893,4.6582169515,-0.7003482171,3.03,"F2 Ia","12.11 ± 0.66",,"Glossy black star which appears to shine solely by reflected light.",,17.79307809,-40.12698197,87073,161471,,549.450549450549,2.99,-5.70964306007463,F3Ia,0.509
69,ARCTURUS,,,Boötis,"Alpha Boötis",cache,14,15,39.7,19,10,56,3.7335283416,0.3347929356,-0.04,K1.5IIIFe-0.5,"1.10 ± 0.06",,"Important local hub of stellar alchemy, inhabited by a race of incredibly tendentious demiurges.",,14.2612076,19.18726997,69673,124897,,11.2549240292628,-0.05,-0.306712839293398,K2IIIp,1.239
70,"ARKAB POSTERIOR",,,Sagittarii,"Beta2 Sagittarii",cache,19,23,13.2,-44,47,59,5.0729667316,0.7759539929,3.96,F,,,"F-type giant, companion with biosphere spectral fingerprint HOL0045A966 (""hillbilly planet"")",,19.37730181,-44.45891013,95241,181454,,116.009280742459,3.96,-1.36246367087644,B9V,-0.085
71,"ARKAB PRIOR",,,Sagittarii,"Beta1 Sagittarii",cache,19,22,38.3,-44,27,32,5.0729667316,0.7759539929,3.96,B,,,"Home to an order of Clone Monks, one of the few celibate religious communities with an overpopulation problem.",,,,95241,181454,,116.009280742459,3.96,-1.36246367087644,B9V,-0.085
72,ARM,,,Capricorni,"Eta Capricorni",cache,21,4,24.3,-19,51,18,5.5170075822,0.346535123,4.82,A,,,"Binary system whose planet has a figure-8 orbit about both stars and was depopulated in the Calendar Wars.",,21.0734235,-19.85493122,104019,200499,,48.4496124031008,4.82,1.39354846477587,A5V,0.169
73,ARNEB,,,Leporis,"Alpha Leporis",cache,5,32,43.81612,-17,49,20.2414,1.4518096773,-0.3110576281,2.589,"F0 Ib","13.9 ± 0.8",,"Progressive star with a warm, analogue spectrum. Its pastel chromosphere is a breeding-ground for dragons.",,5.54550386,-17.82229227,25985,36673,,393.700787401575,2.58,-5.39583141690031,F0Ib,0.211
74,ARRAKIS,,,Draconis,"Mu Draconis",cache,17,5,19.7,54,28,13,4.4738388327,0.9506856917,5.7,F7V,,,"Not to be confused with the fictional planet of CANOPUS. Don't ask the locals about sandworms. Really, just don't.",,17.08893952,54.46986308,83608,154905,,26.9687162891046,4.91,2.7556986273623,F5,0.471
75,ASAFJKERIU,,,Capricorni,"Zeta Capricorni",cache,21,26,40,-22,24,41,5.6141424272,0.3911525261,3.77,G,,,"Barium star whose name is thought to be due to a scribal error, later officially adopted as a publicity stunt.",,21.44445214,-22.41137838,105881,204075,,122.100122100122,3.77,-1.66358049119791,G4Ibp...,1.002
76,ASCELLA,,,Sagittarii,"Zeta Sagittarii",cache,19,2,36.73024,-29,52,48.2279,4.9855861129,-0.5215054854,2.59,"A2.5 Va"," ",,"Binary system located at a point of torsion on the galactic animal.",,19.04353428,-29.88011429,93506,176687,,27.3149412728763,2.60,0.417998644407656,A3IV,0.062
77,"ASELLUS AUSTRALIS",,,Cancri,"Delta Cancri",cache,8,44,41.1,18,9,15,2.2893701965,0.3168499813,3.94,K0III,,,"Known as ARKUSHANANGARUSHASHUTU to the Babylonians, its heliacal rising marked the end of the Scrabble harvest.",,8.7447528,18.15486399,42911,74442,,41.7188151856487,3.94,0.83834017016827,K0III,1.083
78,"ASELLUS BOREALIS",,,Cancri,"Gamma Cancri",cache,8,43,17.1,21,28,7,2.2832615441,0.3746979497,4.66,A,,,"""Ghost star"", site of high demiurgic activity several cosmic years ago, now metal-depleted and forlorn.",,8.72144808,21.46859609,42806,74198,,48.5908649173955,4.66,1.22722685213207,A1IV,0.010
79,"ASELLUS PRIMUS",,,Boötis,"Theta Boötis",cache,14,25,11.79703,51,51,2.6769,3.7751324117,0.9049661951,4.05,"F7 V",1.3,,"Funk star which is fusing bass nuclei from lighter elements, forming a set of rhythmic shells around its core.",,14.42000537,51.85171354,70497,126660,,14.5708873670407,4.04,3.22256999445336,F7V,0.497
80,"ASELLUS SECUNDUS",,,Boötis,"Iota Boötis",cache,14,16,9.92995,51,22,2.0267,3.7357267256,0.8965272848,4.75,"A9 V",2.3,,"Non-radially pulsating star with a companion that orbits on the downbeat, transmitting a rock-steady rhythm.",,14.26946375,51.36701398,69713,125161,,29.8151460942159,4.75,2.37781529135033,A9V,0.236
81,"ASELLUS TERTIUS",,,Boötis,"Kappa Boötis",cache,14,13,27.7,51,47,16,3.7239290307,0.9038672345,5,A8IV," ",,"Rapidly rotating variable star in which hemiola fusion gives rise to intricate celestial crossbeats.",,14.2247083,51.78999066,69483,124675,,47.5511174512601,4.53,1.14419636343161,A8IV,0.233
82,ASMIDISKE,,,Puppis,"Xi Puppis",cache,7,49,17.65567,-24,51,35.2305,2.0476825045,-0.4338851214,3.35,"G6 Iab-Ib","9.9 ± 1.0",,"Home to a race which has transcended on a timeshare basis and lives in aloof discorporate bliss every other Wednesday.",,7.82157187,-24.85978401,38170,63700,,413.223140495868,3.34,-4.74092317009784,G6Ia,1.218
