id,name,designation,greek,constellation,search,wikistatus,ra1,ra2,ra3,dec1,dec2,dec3,ra,dec,appmag_v,class,mass,radius,text,xrefs
11,AL KALBAIN,,,Tauri,,,4,25,22.1,22,17,38,1.1578877868,0.3891017642,4.21,A,,,"Capital star of the Hyades cluster, esteemed for its cultured and diligent bureaubots.",
12,AL KURUD,,,Columbae,,,6,7,31.6328,37,15,10.513,1.6036399908,0.6501861148,4.993,B,,,"Chief of the Apes, a group of stars in the process of budding from a common ancestor.",
13,AL MAAZ,,,Aurigae,,,5,1,58.13245,43,49,23.9059,1.3175877732,0.7648609997,2.98,F0 Iab (or II-III,,,"Victim of an interest cascade, its unusual eclipses caused by clouds of probes sent to investigate its unusual eclipses.",
14,AL MINCHIR AL ASAD,,,Leonis,,,9,24,39.2591,26,10,56.367,2.4637692476,0.4569677625,4.473,K2III,,,"K-type dwarf, companion with biosphere spectral fingerprint VBR9188EA5F (""dinosaur planet"")",VBR EA F 
15,AL NAIR,,,Gruis,,,22,8,13.98473,-46,57,39.5078,5.7955101149,-0.819623623,1.74,B6 V,,,"Smooth A-type star, free from superfluous prominences.",
16,AL NASL,,,Sagittarii,,,18,5,48.4881,-30,25,26.7235,4.7377317502,-0.53100054,2.98,K1 III,,,"K-type giant used as a staging host (""the Arrow's Tip"") by the stellar alchemists.",
17,AL NIYAT,,,Scorpii,,,16,21,11.31571,-25,35,34.0515,4.2812428922,-0.4466784866,2.88,B1 III,,,"Triple star, companion with biosphere spectral fingerprint OOO566AA012 (""ghost planet"")",OOO AA
18,AL RISCHA,,,Piscium,,,2,2,2.81972,2,45,49.541,0.5325304777,0.048236736,3.82,A,,,"Steam star, created in the twenty-first cosmic year by a now-vanished race of host plasms.",
19,AL SHARAS,,,Crateris,,,11,11,39.5,22,49,33,2.9306623413,0.3983859462,4.48,A,,,"White giant star, home to a species of sessile, multi-eyed sentient plants, the β Crater Potaters.",
20,AL SUHAIL AL MUHLIF,,,Velorum,,,9,7,59.75787,-43,25,57.3273,2.391083467,-0.7580417142,2.23,K4.5 Ib-II,,,"Irregular variable which has used up the hydrogen in its core, expanded, and, frankly, let itself go.",
21,AL THALIMAIN POSTERIOR,,,Aquilae,,,19,36,43.27606,-1,17,11.7611,5.1344151248,-0.0224554115,4.364,B5 III,,,"Immense, fluffy star, prized for its beautiful feathery prominences, once hunted to near-extinction.",
22,AL THALIMAIN PRIOR,,,Aquilae,,,19,6,14.93898,-4,52,57.2007,5.0014547002,-0.0852166737,3.43,B9Vn,,,"Furiously rotating blue dwarf star, obscured by dense clouds of silicon.",
23,ALAMAK,,,Andromedae,,,2,3,53.9531,42,19,47.009,0.5406123251,0.7387930679,2.15,K3IIb,,,"Quadruple system, early member of the Skein, an unpopular hard-wired galactic communications network.",
24,ALATHFAR,,,Lyrae,,,18,24,13.8,39,30,26,4.8181122998,0.6895311061,5.12,A,,,"The so-called ""Siren Star"", swarms with dragons who find its hard gamma spectrum irresistible.",
25,ALBIREO,,,Cygni,,,19,30,45.3954,27,57,54.995,5.1083893087,0.4880861492,5.09,B8Ve,,,It is not known whether the components of this orange-blue binary are truly orbiting or if they are just good friends.,
26,ALCHIBA,,,Corvi,,,12,8,24.8,-24,43,44,3.1783027455,-0.4316005315,4,F2 IV,,,"White, moderate star with companion bearing biosphere spectral fingerprint GBS1AAF6563 (""utopia (toga) planet"")",GBS AAF
27,ALCOR,,,Ursae Majoris,,,13,23,55.5,54,55,31,3.5077845473,0.9586269398,2.23,A2 V/A2 V/A1 V ,,,"Hemispherical star, left incomplete for three cosmic years due to a zoning dispute.",
28,ALCYONE,,,Tauri,,,3,47,29.0765,24,6,18.494,0.9925888533,0.4207140112,2.873,B7IIIe,,,"Beautiful blue giant surrounded by a circumstellar gas disk, three dwarf companions and a herbaceous border.",
29,ALDAFAR,,,Lyrae,,,19,13,45.5,39,8,46,5.0342204222,0.6832285282,4.39,B,,,Believed to be the image of ALATHFAR (μ Lyrae) in a reflective nebula.,ALATHFAR 
30,ALDEBARAN,,,Tauri,,,4,35,55.239,16,30,33.49,1.2039309542,0.2881416907,0.85,K5III,,,"Benevolent orange giant, known for its relaxed and tolerant culture.",
31,ALDERAMIN,,,Cephei,,,21,18,34.7715,62,35,8.061,5.578855615,1.0923243044,2.5141,A7IV-V,,,"Dessert star which has left the Main Sequence, fusing glucose into long-chain carbohydrates and caramels.",
32,ALDHAFERA,,,Leonis,,,10,16,41.41597,23,25,2.3221,2.6908189024,0.408709191,3.33,F0 III,,,Dapper giant whose prominences braid themselves into elegant curlicues.,
33,ALDHANAB,,,Gruis,,,21,53,55.7262,-37,21,53.479,5.7330957933,-0.6521397491,3.003,B8 III,,,"Member of the class of exasperating binaries, which move behind their companion star when observed.",
34,ALDIBAIN,,,Draconis,,,16,23,59.48594,61,30,51.1699,4.2934725764,1.0736255687,2.73,G8 III,,,"One of the only stars to have been colonised, by an incredibly persistent race of renobots.",
35,ALFIRK,,,Cephei,,,21,28,39.5971,70,33,38.578,5.6228397738,1.2315168187,3.1438,B2IIIev,,,"Triple system with hesitant, jerky proper motion, implying a nearby unseen stellar predator.",
36,ALGENIB,,,Pegasi,,,0,13,14.15123,15,11,0.9368,0.0577523072,0.2650036998,2.84,B2 IV,,,Large green star which was constructed from a pea as a demonstration of the Banach-Tarski Paradox.,
37,ALGIEBA,,,Leonis,,,10,19,58.35056,19,50,29.3468,2.7051403899,0.3462992456,2.01,K0 IIIb,,,"Double giant system, planetary companion with biosphere spectral fingerprint RRRAAA560AA (""pirate planet"")",RRRAAA AA 
38,ALGOL,,,Persei,,,3,8,10.1315,40,57,20.332,0.8210415319,0.714810901,2.12,B8V (A),,,"Celestial lighthouse, its evil reputation is a galactic race memory of the brutal slavery used in its construction.",
39,ALGORAB,,,Corvi,,,12,29,51.85517,-16,30,55.5525,3.2719000387,-0.2882486527,2.962,A0 IV(n) kB9,,,"Spindle-shaped star with a star-shaped profile, viewed from Earth. Believed to be a fruiting body of some kind.",
40,ALHENA,,,Geminorum,,,6,37,42.7105,16,23,57.4095,1.7353452778,0.2862214382,1.9,A1 IV,,,"Pulsating star, believed to be the rejected core of a dying supergiant.",
41,ALIOTH,,,Ursae Majoris,,,12,54,1.74959,55,57,35.3627,3.3773393364,0.9766831597,1.77,A0pCr,,,"Chromium-rich star, serves as the galactic magnetic pole in the metal cultures.",
42,ALKAFZAH,,,Ursae Majoris,,,11,46,3,47,46,46,3.0807242959,0.8339086203,3.69,K,,,"Capital star of Ursa Major, with a long tradition of representative magnetohydrodynamics.",
43,ALKALUROPS,,,Boötis,,,15,24,29.4278,37,22,37.8,4.0338506221,0.6523546234,4.31,F0V,,,"Dub star with an oscillating core of dark matter, used by the stellar alchemists to transmit funky frequencies.",
44,ALKES,,,Crateris,,,10,59,46.4647,-18,17,55.62,2.878808951,-0.3193740183,4.07,K1 III,,,"K-type giant with companion with biosphere spectral fingerprint YIY55A38642 (""cowboy planet"")",YIY
45,ALKURAH,,,Cephei,,,22,3,47.4,64,37,40.71,5.7761235262,1.1279709526,4.29,A,,,Has the appearance of a white giant; thought by Struve and others to be a white spot on a far larger object.,
46,ALNILAM,,,Orionis,,,5,36,12.8,1,12,6.9,1.4670074139,0.0209774032,1.7,B0 Ia,,,"Blue giant and celestial omphalos, dreaded in galactic culture as a scar on the heavens.",
47,ALNITAK,,,Orionis,,,5,40,45.5,1,56,34,1.4868387176,0.0339078689,2.0–10.8,O9 Iab/O9/B0 III ,,,Head office of the Orion supernova works. Approaching this star is not recommended due to high demiurgic activity.,
48,ALPHARD,,,Hydrae,,,9,27,35.2433,-8,39,30.969,2.4765671798,-0.1511211222,1.98,K3 II-III,,,"Capital star of the neighbourhood known as The Star, leading to its grandiloquent nickname ""The Star of the Star"".",
49,ALPHEKKA,,,Coronae Borealis,,,15,34,41.2681,26,42,52.895,4.0783449043,0.4662593525,2.21,A0V/G5V,,,One of the second pair of line-of-sight cognates used by Yule to identify Old Earth. See also ACHERNAR.,ACHERNAR
50,ALPHEKKA MERIDIANIA,,,Coronae Australis,,,19,9,28.34097,-37,54,16.1022,5.0155192899,-0.6615578522,4.102,A2Va,,,"Old Earth, the moon of a gas giant orbiting a pulsar, lies midway between this star and ALPHEKKA.",ALPHEKKA
51,ALSAFI,,,Draconis,,,19,32,21.59026,69,39,40.2354,5.1153847964,1.2158168907,4.674,G9 V,,,"G-class swarf, a fragment left over from the machining process of a much larger star.",
52,ALSCIAUKAT,,,Lyncis,,,8,22,50.13,43,11,18.1,2.1940337677,0.7537790999,4.25,K,,,"Rare example of a feline species developing technological civilisation, due to an absence of hominid servants.",
53,ALSHAIN,,,Aquilae,,,19,55,18.8,6,24,24,5.2155383149,0.1118174274,3.7,G8 IVvar,,,"Sacred in the heavens of all worlds inhabited by winged creatures, home to the first swan consort.",
54,ALSHAT,,,Capricorni,,,20,20,39.8,12,45,33,5.3261485563,0.2226894681,4.77,B,,,"Blue dwarf star with companion bearing biosphere spectral fingerprint XXXEE98012A (""pleasure planet"")",XXXEE A 
55,ALTAIR,,,Aquilae,,,19,50,46.99855,8,52,5.9563,5.1957723557,0.154781404,0.77,A7 V,,,"Celestial form of the Trickster deity in exile, the eagle consort. Known for its rapid rotation.",
56,ALTAIS,,,Draconis,,,19,12,33.30197,67,39,41.5456,5.0289700333,1.1809166577,3.07,G9 III,,,"Yellow giant, the famed Space Elephants' Graveyard. Note that space elephants are a myth, tourists may be disappointed.",
57,ALTARF,,,Cancri,,,8,16,30.9206,9,11,7.961,2.166456882,0.160317999,3.536,K4III ,,,"K-giant, whose inhabitants worship reason and are involved in a bitter conflict with those of λ Leonis (the ""Tarf Wars"")",
58,ALTERF,,,Leonis,,,9,31,43.24,22,58,5.036,2.4946020088,0.4008683668,4.32,K,,,"K-giant, whose inhabitants worship reason and are involved in a bitter conflict with those of β Cancri (the ""Terf Wars"")",
59,ALUDRA,,,Canis Majoris,,,7,24,5.70228,-29,18,11.1798,1.9377301512,-0.511435672,2.45,B5 Ia,,,"Leader of a pack of tough blue giants whose motto is ""Live fast, die young and leave a beautiful nebula.""",
60,ALULA AUSTRALIS,,,Ursae Majoris,,,11,18,11,31,31,45,2.9591330247,0.5502877687,3.7,G0 Ve/G0 Ve,,,"""Herschel's Palindromic Binary,"" thought at first to move back and forth rather than round and round.",
61,ALULA BOREALIS,,,Ursae Majoris,,,11,18,28.73664,33,5,39.5107,2.9604228696,0.5776046475,3.49,K3 III,,,K-type giant whose spectrum features strong loneliness and melancholy-alpha emission lines.,
62,ALYA,,,Serpentis,,,18,56,13.2,4,12,13,4.9576950068,0.0733668544,4.03,A,,,"Binary pair of A-type dwarf stars, one good and one evil, locked in a gravitational and moral stalemate.",
63,ALZIRR,,,Geminorum,,,6,45,17.36432,12,53,44.1311,1.7684086366,0.2250705389,3.35,F5 IV,,,"Large F-class star which is moving off the Main Sequence, ""not before time"", according to its parent cluster.",
64,ANCHA,,,Aquarii,,,22,16,50.03635,-7,46,59.848,5.8330384477,-0.1358440565,4.175,G8 III–IV,,,"G-type star whose inhabitants, a race of mystic pedants, insist that their planets are moons of a long-vanished primary.",
65,ANGETENAR,,,Eridani,,,2,51,2.3,-21,0,15,0.7462955159,-0.366591865,4.75,K,,,"Not to be confused with τ¹, τ³, τ⁴, τ⁵, τ⁶, τ⁷, τ⁸ or τ⁹ Eridani, which were cloned from it in a replicator outbreak.",
66,ANKAA,,,Phoenicis,,,0,26,17.0514,-42,18,21.5539,0.1146864142,-0.7383787698,2.377,K0.5 IIIb,,,Quark star surrounded by an accretion disk of malodorous curds.,
67,ANTARES,,,Scorpii,,,16,29,24|24.45970,-26,25,55|55.2094,4.3170719048,-0.4613244583,1.09,M1.5Iab-b + B2.5V,,,"Immense, irregular giant. Dark forms, none alike, move with ritual slowness over its vast red terraces.",
68,APOLLYON,,,Scorpii,,,17,47,35.08113,-40,7,37.1893,4.6582169515,-0.7003482171,3.03,F2 Ia,,,Glossy black star which appears to shine solely by reflected light.,
69,ARCTURUS,,,Boötis,,,14,15,39.7,19,10,56,3.7335283416,0.3347929356,-0.04,K1.5IIIFe-0.5,,,"Important local hub of stellar alchemy, inhabited by a race of incredibly tendentious demiurges.",
70,ARKAB POSTERIOR,,,Sagittarii,,,19,22,38.3,44,27,32,5.0729667316,0.7759539929,3.96,B,,,"F-type giant, companion with biosphere spectral fingerprint HOL0045A966 (""hillbilly planet"")",HOL
71,ARKAB PRIOR,,,Sagittarii,,,19,22,38.3,44,27,32,5.0729667316,0.7759539929,3.96,B,,,"Home to an order of Clone Monks, one of the few celibate religious communities with an overpopulation problem.",
72,ARM,,,Capricorni,,,21,4,24.3,19,51,18,5.5170075822,0.346535123,4.82,A,,,Binary system whose planet has a figure-8 orbit about both stars and was depopulated in the Calendar Wars.,
73,ARNEB,,,Leporis,,,5,32,43.81612,-17,49,20.2414,1.4518096773,-0.3110576281,2.589,F0 Ib,,,"Progressive star with a warm, analogue spectrum. Its pastel chromosphere is a breeding-ground for dragons.",
74,ARRAKIS,,,Draconis,,,17,5,19.7,54,28,13,4.4738388327,0.9506856917,5.7,F7V,,,"Not to be confused with the fictional planet of CANOPUS. Don't ask the locals about sandworms. Really, just don't.",CANOPUS
75,ASAFJKERIU,,,Capricorni,,,21,26,40,22,24,41,5.6141424272,0.3911525261,3.77,G,,,"Barium star whose name is thought to be due to a scribal error, later officially adopted as a publicity stunt.",
76,ASCELLA,,,Sagittarii,,,19,2,36.73024,-29,52,48.2279,4.9855861129,-0.5215054854,2.59,A2.5 Va,,,Binary system located at a point of torsion on the galactic animal.,
77,ASELLUS AUSTRALIS,,,Cancri,,,8,44,41.1,18,9,15,2.2893701965,0.3168499813,3.94,K0III,,,"Known as ARKUSHANANGARUSHASHUTU to the Babylonians, its heliacal rising marked the end of the Scrabble harvest.",ARKUSHANANGARUSHASHUTU 
78,ASELLUS BOREALIS,,,Cancri,,,8,43,17.1,21,28,7,2.2832615441,0.3746979497,4.66,A,,,"""Ghost star"", site of high demiurgic activity several cosmic years ago, now metal-depleted and forlorn.",
79,ASELLUS PRIMUS,,,Boötis,,,14,25,11.79703,51,51,2.6769,3.7751324117,0.9049661951,4.05,F7 V,,,"Funk star which is fusing bass nuclei from lighter elements, forming a set of rhythmic shells around its core.",
80,ASELLUS SECUNDUS,,,Boötis,,,14,16,9.92995,51,22,2.0267,3.7357267256,0.8965272848,4.75,A9 V,,,"Non-radially pulsating star with a companion that orbits on the downbeat, transmitting a rock-steady rhythm.",
81,ASELLUS TERTIUS,,,Boötis,,,14,13,27.7,51,47,16,3.7239290307,0.9038672345,5,A8IV,,,Rapidly rotating variable star in which hemiola fusion gives rise to intricate celestial crossbeats.,
82,ASMIDISKE,,,Puppis,,,7,49,17.65567,-24,51,35.2305,2.0476825045,-0.4338851214,3.35,G6 Iab-Ib,,,Home to a race which has transcended on a timeshare basis and lives in aloof discorporate bliss every other Wednesday.,
83,ASPIDISKE,,,Carinae,,,9,17,5.40686,-59,16,30.8353,2.4307641814,-1.0345479638,2.25,A9 Ib,,,"White giant whose fourth planet is home to a race of respectable, hardy and decorative sentient plants.",
84,ATIK,,,Persei,,,3,44,19.132,32,17,17.69,0.9787756994,0.5635362237,3.83,B,,,"Located at the intersection of sixteen different species' television broadcasts, its inhabitants speak only in catchphrases.",
85,ATLAS,,,Tauri,,,3,49,9.7,24,3,12,0.9999064007,0.4198098627,3.62,B8 III,,,A star built by libertarian AIs in which radiation from furious debate is balanced by the weight of government subsidies.,A  AI
86,ATRIA,,,Trianguli Australis,,,16,48,39.89508,-69,1,39.7626,4.4011309671,-1.2047608466,1.92,K2 IIb-IIIa,,,Home to a race of geometroids with the most stable stools and least stable relationships in the Galaxy.,
87,AULAD AL THIBA,,,Boötis,,,14,16,23,46,5,18,3.7366772065,0.8043931634,4.18,A0p,,,"Dwarf star of low metallicity, where ""metal"" is used in its astrophysical sense of any music harder than doo-wop.",
88,AUVA,,,Virginis,,,12,55,36.20861,3,23,50.8932,3.3842085902,0.0592970436,3.402,M3 III,,,Deteriorating red giant with prominent sunspots and a bad infestation of space lice.,
89,AVIOR,,,Carinae,,,8,22,30.83526,-59,30,34.1431,2.1926306146,-1.0386364354,1.86,K3 III,,,"Named by the RAF in the 1930s, this binary star is one of the only two celestial systems on the Civil List.",RAF 
90,AZELFAFAGE,,,Cygni,,,21,42,5.6,51,11,23,5.6814539587,0.893429196,4.67,B,,,"Intermittently variable star with high velocity, trailing behind it a series of expanding nebulae or ""faffs"".",
91,AZHA,,,Eridani,,,2,56,25.7,-8,53,53,0.7698138276,-0.1553003665,4.1,K,,,"Beguiling object referred to in ancient songs as the ""Double Helix"". A mature star which has commenced jazz fusion.",A 
92,BAHAM,,,Pegasi,,,22,10,12,6,11,52,5.8040924275,0.1081716285,3.53,A,,,"A-class dwarf with companion showing biosphere spectral fingerprint YDRA00C1000 (""gangster planet"")",YDRA
93,BASEL,,,Persei,,,3,42,55.50426,47,47,15.1746,0.9726941185,0.8340500628,3.01,B5 III,,,"Imprisons a local warrior deity: the worlds his bones, the moons his teeth, yea, the comets his streaming hair.",
94,BATENTABAN AUSTRALIS,,,Draconis,,,18,20,45.4304,71,20,16.132,4.8029592349,1.2450797432,4.2004,A0sp,,,"The ""Southern Drumhead""; a resonant volume stretched over the mouth of an abandoned wormhole.",
95,BATENTABAN BOREALIS,,,Draconis,,,18,21,3.38255,72,43,58.2518,4.8042647521,1.2694276671,3.57,F7V,,,"The ""Northern Drumhead"" (see BATENTABAN AUSTRALIS): now in a state of disrepair and infested by dragons.",BATENTABAN AUSTRALIS
96,BEEMIM,,,Eridani,,,4,35,33.0385,-30,33,44.429,1.2023164883,-0.5334134844,3.817,G8IIIa,,,"Home to immortal microbes whose vastly prolix language has only two words, ""beemim"" and ""theemim"" (""open"" and ""close"").",
97,BEID,,,Eridani,,,4,11,51.936,-6,50,15.29,1.0989709981,-0.1193382936,4.04,F,,,"Home system of the poet Kem, its native idioms are used Galaxy-wide, for reasons as beid as the tholes on one's snowth.",
98,BELLATRIX,,,Orionis,,,5,25,7.86325,6,20,58.9318,1.4186518489,0.1108232287,1.64,B2 III,,,"B-type giant, home to a warrior race who have learnt new ways since the stronger females were wiped out by plague.",
99,BENETNASCH,,,Ursae Majoris,,,13,47,32.43776,49,18,47.7602,3.610827169,0.8606788692,1.85,B3 V,,,"Rare example of a brown giant, an unpopular class of star with a formidable stellar wind.",
100,BETELGEUSE,,,Orionis,,,5,55,10.3053,7,24,25.426,1.5497291337,0.1292776334,0.42,M2Iab,,,"Magnificent stellar bonfire, the inrushing past light-cone of its detonation is already having strange local effects.",
101,BETRIA,,,Trianguli Australis,,,15,55,8.56206,-63,25,50.6155,4.1675962397,-1.1070750248,2.85,F1 V,,,"Fussy F-class star with three planets, each of which has three moons, each of which has three rings.",
102,BIRDUN,,,Centauri,,,13,39,53.25774,-53,27,59.0081,3.5774346556,-0.9331645645,2.27,B1 III,,,"B-class giant which pulsates steadily due to opacity hysteresis, from dark to quite sheer (&lt;40 denier)",
103,BIRHAN ISAT,,,Tauri,,,3,30,52.37,12,56,12.1,0.9201063112,0.2257879124,4.14,K0II-III,,,"K-giant orbited by Shun, home planet of the Hidden Masters. Open all hours, bookings essential for groups.",
104,THE BLAZE STAR,,,Coronae Borealis,,,15,59,30.16,25,55,12.6,4.1866201787,0.452392251,10,M3III,,,Recurrent nova which is thought to contain the imprisoned soul of a cosmic temptress.,
105,BOGARDUS,,,Aurigae,,,5,59,43.27012,37,12,45.3047,1.5695796956,0.6494821251,2.62,A0pSi + F2-5V,,,"Binary system with planetary companion showing biosphere spectral fingerprint SPQ12A89BC0 (""ancient Roman planet"")",SPQ BC
106,BOTEJN,,,Arietis,,,3,11,37.76465,19,43,36.0397,0.8361410407,0.3442954762,4.349,K2 III,,,Notorious stellar entrepôt. Many's the idle hour whiled away by spacers over hot rum beneath its bloated limb.,
107,BRACHIUM,,,Librae,,,15,4,4.21608,-25,16,55.0606,3.9447507115,-0.4412534657,3.29,M3/M4 III,,,"Abandoned red giant, remembered only in a song fragment: ""O supple airs of [lost|affordable] Brachium.""",O 
108,BUNDA,,,Aquarii,,,21,37,45.10931,-7,51,15.1299,5.6625105412,-0.1370816981,4.682,A7 V,,,Dry white star with an elegant spectroscopic bouquet hinting at the presence of an unseen binary companion.,
109,CALVERA,,,J141256,,,14,12,56,79,22,4,3.7216237417,1.3852290422, ,pulsar,,,"X-ray source, visible portion of a manifold parasite embedded in the galactic animal.",
110,CANOPUS,,,Carinae,,,6,23,57.1099,-52,41,44.378,1.6753059079,-0.9197127782,-0.72,F0 II or F0 Ib,,,"Famous as the Second Star To The Right, travellers should memorise its spectrum as a navigational aid. See also: DENEB.",DENEB
111,CAPELLA,,,Aurigae,,,5,16,41.3591,45,59,52.768,1.3818178277,0.8028163942,0.08,G,,,"By an inevitable coincidence, the hircine inhabitants of this quadruple system refer to SOL as the ""Star of Apes"".",SOL 
112,CAPH,,,Cassiopeiae,,,0,9,10.68518,59,8,59.212,0.0400469564,1.0323584322,2.28,F2 III-IV,,,"Pulsating giant star,  anchored to the sky by a Skein remnant.",
113,CASTOR,,,Geminorum,,,7,34,35.87319,31,53,17.816,1.983557473,0.5565555176,2,A1 V + A2 Vm,,,System of two A-giants and four M-dwarfs assembled by a demiurge who was basically showing off.,
114,CASTRA,,,Capricorni,,,21,37,4.8,19,27,58,5.6595791654,0.3397477314,4.5,B,,,Triple-star system constructed from military salvage following the Reionisation War.,
115,CASTULA,,,Cephei,,,21,45,26.93,61,7,14.9,5.6960950895,1.0667592984,4.312,A2Iab,,,"Grand giant in a Gothic revival style, featuring immense solar buttresses supporting a filigree iron core.",
116,CELAENO,,,Tauri,,,3,44,48.2154,24,17,22.093,0.980890704,0.4239312299,5.448,B7IV,,,"Capital of the Pleiades, a beautifully planned system with some of the highest tides in the Galaxy.",
117,CELBALRAI,,,Ophiuchi,,,17,43,28.35265,4,34,2.2955,4.6402743501,0.0797144981,2.749,K2 III,,,"K-type orange giant orbited by a stunningly beautiful ocean planet. Ah, the polychrome sunsets of Celbalrai Prime!",
118,CHARA,,,Canum Venaticorum,,,12,33,44.54482,41,21,26.9248,3.2888217076,0.7218241808,4.26,G0 V,,,"Perky G-dwarf with doubled emission lines in the delight-alpha spectrum, indicating high self-esteem.",
119,CHOO,,,Arae,,,17,31,50.49153,-49,52,34.122,4.5895244573,-0.8705029485,2.93,B2 Vne,,,"Rapidly spinning stellar Catherine wheel with polar outflows, one of the few stars whose name is onomatopoeic.",
120,CHORT,,,Leonis,,,11,14,14.40446,15,25,46.4541,2.9419273115,0.2692968088,3.324,A2 V,,,"A-type main sequence star with companion bearing biosphere spectra fingerprint YOL023AA459 (""bro planet"").",YOL AA
121,CHOW,,,Serpentis,,,15,46,11.3,15,25,19,4.1285254402,0.2691637076,3.65,A,,,"A-dwarf, home system of the Tentacle, a tree which evolved into an orbital elevator.",
122,COR CAROLI,,,Canum Venaticorum,,,12,56,1.6674,38,19,6.167,3.3860600056,0.6687818902,2.8,A0pSiEuHg,,,Widely-separated binary whose members are staying together for the sake of the planets.,
123,CURSA,,,Eridani,,,5,7,50.98549,-5,5,11.2055,1.3432479704,-0.0887752294,2.796,A3 III var,,,"Variable rectangular green or amber star, used as a Galactic placeholder.",
124,DABIH MAJOR,,,Capricorni,,,20,21,0.7,-14,46,53,5.3276684471,-0.2579839041,3.05,K,,,"Has a complicated spectrum showing features typical of K-giants, B-dwarfs and halogen downlighting.",
125,DABIH MINOR,,,Capricorni,,,20,21,0.7,-14,46,53,5.3276684471,-0.2579839041,6.09,A,,,"Bright A-type giant with elevated levels of zinc and manganese, indicating a healthy immune system.",
126,DALIM,,,Fornacis,,,3,12,4.5277,-28,59,15.425,0.8380873046,-0.5059293774,3.85,F8IV,,,"Dwarf star, home to a race of energy beings who are unique in their refusal to meddle with protagonists.",
127,DELTA,,,Andromedae,,,0,39,19.67518,30,51,39.6783,0.1716004215,0.5386264401,3.28,K3 III,,,K-giant held in a vast conical fold in space-time known as The Sconce. Prone to spluttering.,
128,DELTOTUM,,,Trianguli,,,2,9,32.62712,34,59,14.2694,0.5652413949,0.61064353,3,A5III,,,"Home to a species so hostile that nothing is known of them but their name, or possibly its first three syllables.",
129,DENEB,,,Cygni,,,20,41,25.9,45,16,49,5.4167675055,0.7902899334,1.25,A2 Ia,,,"Landmark, not to be confused with DENEB AL OKAB, DENEB ALGEDI, DENEB KAITOS, DENEB KAITOS SHEMALI, DENEBAKRAB or DENEBOLA.",DENEB AL OKAB DENEB ALGEDI DENEB KAITOS DENEB KAITOS SHEMALI DENEBAKRAB  DENEBOLA
130,DENEB AL OKAB,,,Aquilae,,,19,5,24.60802,13,51,48.5182,4.9977945295,0.2419633243,2.983,A0 Vn,,,"Double star with a circumstellar disk of dust, gas, ash, perfume, broken heels and theatre tickets.",
131,DENEB ALGEDI,,,Capricorni,,,21,47,2.44424,-16,7,38.2335,5.703041081,-0.281474259,2.81,A7m III,,,"Eclipsing binary consisting of a G-dwarf which periodically sits on top of an A-giant, winding it.",
132,DENEB KAITOS,,,Ceti,,,0,43,35.3709,-17,59,11.7827,0.190195139,-0.3139255013,2.04,K0 III,,,Superb orange giant. The ice moons of its outer planets are undergoing Thaw-Renaissance as it expands.,
133,DENEB KAITOS SHEMALI,,,Ceti,,,0,19,25.665,-8,49,25.98,0.0847695509,-0.154005817,3.56,K,,,K-dwarf settled by migrants from DENEB KAITOS who believed that the latter was about to become a supernova.,DENEB KAITOS 
